workload,i,file,size,read_time,size_with_metadata,run
core,6.0,parquet,37413239.0,0.194908,,
core,6.0,orc,38468540.0,0.363795,,
core,6.0,btrblocks,44144434.0,54068.0,44144602.0,
geo,6.0,parquet,116094986.0,0.28274,,
geo,6.0,orc,108626537.0,0.37187,,
geo,6.0,btrblocks,134528231.0,328742.0,134528399.0,
classic,6.0,parquet,198249209.0,0.375111,,
classic,6.0,orc,183467312.0,0.418246,,
classic,6.0,btrblocks,206339125.0,529157.0,206339293.0,
log,6.0,parquet,23909928.0,0.172212,,
log,6.0,orc,17129111.0,0.253236,,
log,6.0,btrblocks,32344244.0,64825.0,32344412.0,
ml,6.0,parquet,85059568.0,0.236842,,
ml,6.0,orc,83054749.0,0.369046,,
ml,6.0,btrblocks,108679782.0,158730.0,108679950.0,
bi,6.0,parquet,31206759.0,0.192263,,
bi,6.0,orc,28144655.0,0.342713,,
bi,6.0,btrblocks,28230866.0,37711.0,28231034.0,
core,7.0,parquet,37413239.0,0.198964,,
core,7.0,orc,38468540.0,0.37052,,
core,7.0,btrblocks,44144434.0,50524.0,44144602.0,
geo,7.0,parquet,116094986.0,0.280729,,
geo,7.0,orc,108626537.0,0.361973,,
geo,7.0,btrblocks,134528231.0,327195.0,134528399.0,
classic,7.0,parquet,198249209.0,0.375558,,
classic,7.0,orc,183467312.0,0.432377,,
classic,7.0,btrblocks,206339125.0,529060.0,206339293.0,
log,7.0,parquet,23909928.0,0.170284,,
log,7.0,orc,17129111.0,0.24288,,
log,7.0,btrblocks,32344244.0,61806.0,32344412.0,
ml,7.0,parquet,85059568.0,0.252231,,
ml,7.0,orc,83054749.0,0.372437,,
ml,7.0,btrblocks,108679782.0,158963.0,108679950.0,
bi,7.0,parquet,31206759.0,0.194545,,
bi,7.0,orc,28144655.0,0.34766,,
bi,7.0,btrblocks,28230866.0,37700.0,28231034.0,
core,8.0,parquet,37413239.0,0.181401,,
core,8.0,orc,38468540.0,0.371349,,
core,8.0,btrblocks,44144434.0,53576.0,44144602.0,
geo,8.0,parquet,116094986.0,0.278179,,
geo,8.0,orc,108626537.0,0.371151,,
geo,8.0,btrblocks,134528231.0,328957.0,134528399.0,
